SYMBOL,SECTOR
IMPEXFERRO,MINING/MINERALS
INDHOTEL,HOTELS
INDIACEM,CEMENT - MAJOR
INDIAGLYCO,CHEMICALS
INDIAINFO,FINANCE - GENERAL
INDIANB,BANKS - PUBLIC SECTOR
INDIANCARD,TEXTILES - MACHINERY
INDIANHUME,CEMENT - PRODUCTS/BUILDING MATERIALS
INDNIPPON,AUTO ANCILLARIES
INDOCO,PHARMACEUTICALS
INDORAMA,TEXTILES - SPINNING - SYNTHETIC BLENDED
INDOTECH,POWER - TRANSMISSION/EQUIPMENT
INDOTHAI,FINANCE - GENERAL
INDOWIND,POWER - GENERATION/DISTRIBUTION
INDRAMEDCO,HOSPITALS & MEDICAL SERVICES
INDUSFILA,TEXTILES - PROCESSING
INDUSINDBK,BANKS - PRIVATE SECTOR
INFINITE,COMPUTERS - SOFTWARE
INFOTECENT,COMPUTERS - SOFTWARE
INFRABEES,FINANCE - INVESTMENTS
INFRATEL,TELECOMMUNICATIONS - EQUIPMENT
INFY,COMPUTERS - SOFTWARE
INGERRAND,COMPRESSORS
INGVYSYABK,BANKS - PRIVATE SECTOR
INNOIND,STEEL - TUBES/PIPES
INOXLEISUR,MEDIA & ENTERTAINMENT
INSECTICID,PESTICIDES/AGRO CHEMICALS
INTEGRA,ELECTRIC EQUIPMENT
IOB,BANKS - PUBLIC SECTOR
IOC,REFINERIES
IPCALAB,PHARMACEUTICALS
IPGETF,FINANCE - INVESTMENTS
IRB,INFRASTRUCTURE - GENERAL
ISFT,MISCELLANEOUS
ISMTLTD,STEEL - ROLLING
ITC,HOTELS
ITDCEM,CONSTRUCTION & CONTRACTING - CIVIL
ITI,TELECOMMUNICATIONS - EQUIPMENT
IVC,FINANCE - INVESTMENTS
IVRCLINFRA,CONSTRUCTION & CONTRACTING - CIVIL
J&KBANK,MISCELLANEOUS
JAGRAN,MEDIA & ENTERTAINMENT
JAGSNPHARM,PHARMACEUTICALS
JAIBALAJI,STEEL - SPONGE IRON
JAICORPLTD,STEEL - GP/GC SHEETS
JAMNAAUTO,AUTO ANCILLARIES
JAYAGROGN,CHEMICALS
JAYBARMARU,AUTO ANCILLARIES
JAYNECOIND,CASTINGS & FORGINGS
JAYSREETEA,PLANTATIONS - TEA & COFFEE
JBCHEPHARM,PHARMACEUTICALS
JBFIND,TEXTILES - MANMADE
JENSONICOL,PAINTS/VARNISHES
JETAIRWAYS,TRANSPORT & LOGISTICS
JHS,PERSONAL CARE
JINDALPHOT,CONSUMER GOODS - ELECTRONIC
JINDALPOLY,PACKAGING
JINDALSAW,STEEL - TUBES/PIPES
JINDALSTEL,STEEL - SPONGE IRON
JINDCOT,TEXTILES - SPINNING - COTTON BLENDED
JINDRILL,OIL DRILLING AND EXPLORATION
JINDWORLD,TRADING
JISLDVREQS,PLASTICS
JISLJALEQS,PLASTICS
JKCEMENT,CEMENT - MAJOR
JKIL,CONSTRUCTION & CONTRACTING - CIVIL
JKLAKSHMI,CEMENT - MAJOR
JKPAPER,PAPER
JKTYRE,TYRES
JMCPROJECT,CONSTRUCTION & CONTRACTING - CIVIL
JMFINANCIL,FINANCE - INVESTMENTS
JMTAUTOLTD,AUTO ANCILLARIES
JOCIL,MISCELLANEOUS
JPASSOCIAT,INFRASTRUCTURE - GENERAL
JPINFRATEC,INFRASTRUCTURE - GENERAL
JPPOWER,POWER - GENERATION/DISTRIBUTION
JSL,ELECTRIC EQUIPMENT
JSWENERGY,POWER - GENERATION/DISTRIBUTION
JSWHL,FINANCE - INVESTMENTS
JSWSTEEL,STEEL - LARGE
JUBILANT,MISCELLANEOUS
JUBLFOOD,MISCELLANEOUS
JUBLINDS,MISCELLANEOUS
JUNIORBEES,FINANCE - INVESTMENTS
JUSTDIAL,MISCELLANEOUS
JVLAGRO,VANASPATI/OILS
JYOTHYLAB,PERSONAL CARE
JYOTISTRUC,POWER - TRANSMISSION/EQUIPMENT
KABRAEXTRU,ENGINEERING - HEAVY
KAJARIACER,CERAMICS/GRANITE
KAKATCEM,CEMENT - MINI
KALINDEE,ENGINEERING
KALPATPOWR,POWER - TRANSMISSION/EQUIPMENT
KAMATHOTEL,HOTELS
KANANIIND,FINANCE - INVESTMENTS
KANORICHEM,CHEMICALS
KANSAINER,PAINTS/VARNISHES
KARMAENG,MISCELLANEOUS
KARURVYSYA,BANKS - PRIVATE SECTOR
KAUSHALYA,CONSTRUCTION & CONTRACTING - CIVIL
KAVVERITEL,TELECOMMUNICATIONS - EQUIPMENT
KBIL,FINANCE - GENERAL
KCP,SUGAR
KCPSUGIND,SUGAR
KEC,POWER - TRANSMISSION/EQUIPMENT
KECL,ELECTRIC EQUIPMENT
KEI,CABLES - POWER/OTHERS
KEMROCK,PLASTICS
KERNEX,COMPUTERS - SOFTWARE MEDIUM/SMALL
KESARENT,SUGAR
KESORAMIND,DIVERSIFIED
KFA,COMPUTERS - SOFTWARE MEDIUM/SMALL
KICL,FINANCE - INVESTMENTS
KIL,ENGINEERING - HEAVY
KILITCH,PHARMACEUTICALS
KIRLOSBROS,PUMPS
KIRLOSENG,ENGINES
KIRLOSIND,ENGINES
KITEX,TEXTILES - READYMADE APPARELS
KKCL,RETAIL
KMSUGAR,SUGAR
KNRCON,CONSTRUCTION & CONTRACTING - CIVIL
KOHINOOR,FOOD PROCESSING
KOKUYOCMLN,DIVERSIFIED
KOLTEPATIL,CONSTRUCTION & CONTRACTING - REAL ESTATE
KOPRAN,PHARMACEUTICALS
KOTAKBANK,BANKS - PRIVATE SECTOR
KOTAKGOLD,FINANCE - INVESTMENTS
KOTAKNIFTY,FINANCE - INVESTMENTS
KOTAKPSUBK,FINANCE - INVESTMENTS
KOTARISUG,SUGAR
KOTHARIPET,TRADING
KOTHARIPRO,CIGARETTES
KPIT,COMPUTERS - SOFTWARE MEDIUM/SMALL
KPRMILL,TEXTILES - READYMADE APPARELS
KRBL,FOOD PROCESSING
KRITIIND,PLASTICS
KSBPUMPS,PUMPS
KSCL,MISCELLANEOUS
KSE,EDIBLE OILS & SOLVENT EXTRACTION
KSERASERA,MEDIA & ENTERTAINMENT
KSK,POWER - GENERATION/DISTRIBUTION
KSL,TEXTILES - HOSIERY/KNITWEAR
KTKBANK,BANKS - PRIVATE SECTOR
KWALITY,FOOD PROCESSING
L&TFH,PHARMACEUTICALS
LAKSHMIEFL,FOOD PROCESSING
LAKSHMIMIL,TEXTILES - COMPOSITE MILLS
LAKSHVILAS,BANKS - PRIVATE SECTOR
LANCOIN,STEEL - PIG IRON
LAOPALA,GLASS & GLASS PRODUCTS
LAXMIMACH,TEXTILES - MACHINERY
LGBBROSLTD,ENGINEERING
LGBFORGE,CASTINGS & FORGINGS
LIBERTSHOE,LEATHER PRODUCTS
LICHSGFIN,FINANCE - HOUSING
LINDEINDIA,CHEMICALS
LIQUIDBEES,FINANCE - INVESTMENTS
LITL,INFRASTRUCTURE - GENERAL
LLOYDELENG,CONSUMER GOODS - WHITE GOODS
LML,AUTO - 2 & 3 WHEELERS
LOKESHMACH,MACHINE TOOLS
LOVABLE,TEXTILES - READYMADE APPARELS
LT,FOOD PROCESSING
LUMAXAUTO,AUTO ANCILLARIES
LUMAXIND,AUTO ANCILLARIES
LUMAXTECH,AUTO ANCILLARIES
LUPIN,PHARMACEUTICALS
LYKALABS,PHARMACEUTICALS
LYPSAGEMS,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
M&M,MISCELLANEOUS
M&MFIN,MISCELLANEOUS
M100,FINANCE - INVESTMENTS
M50,FINANCE - INVESTMENTS
MAANALU,ALUMINIUM
MADHAV,CERAMICS/GRANITE
MADHUCON,CONSTRUCTION & CONTRACTING - CIVIL
MADRASFERT,FERTILISERS
MAGMA,FINANCE - LEASING & HIRE PURCHASE
MAGNUM,PAPER
MAHABANK,BANKS - PUBLIC SECTOR
MAHINDFORG,CASTINGS & FORGINGS
MAHINDUGIN,STEEL - MEDIUM / SMALL
MAHLIFE,CONSTRUCTION & CONTRACTING - CIVIL
MAHSCOOTER,AUTO - 2 & 3 WHEELERS
MAHSEAMLES,STEEL - TUBES/PIPES
MANAKSIA,STEEL - ROLLING
MANALIPETC,PETROCHEMICALS
MANAPPURAM,FINANCE - LEASING & HIRE PURCHASE
MANDHANA,TEXTILES - GENERAL
MANGCHEFER,FERTILISERS
MANGLMCEM,CEMENT - MAJOR
MANINDS,STEEL - TUBES/PIPES
MANINFRA,CONSTRUCTION & CONTRACTING - CIVIL
MANJEERA,CONSTRUCTION & CONTRACTING - REAL ESTATE
MANJUSHREE,PACKAGING
MARALOVER,TEXTILES - SPINNING - COTTON BLENDED
MARICO,PERSONAL CARE
MARKSANS,PHARMACEUTICALS
MARUTI,AUTO - CARS & JEEPS
MASTEK,COMPUTERS - SOFTWARE
MAWANASUG,SUGAR
MAX,PACKAGING
MAXWELL,TEXTILES - READYMADE APPARELS
MAYURUNIQ,PLASTICS
MBECL,ENGINEERING
MBLINFRA,CONSTRUCTION & CONTRACTING - CIVIL
MCDHOLDING,FINANCE - INVESTMENTS
MCDOWELL-N,BREWERIES & DISTILLERIES
MCLEODRUSS,PLANTATIONS - TEA & COFFEE
MCX,MISCELLANEOUS
MEGH,PESTICIDES/AGRO CHEMICALS
MERCK,PHARMACEUTICALS
METKORE,STEEL - MEDIUM / SMALL
MGOLD,FINANCE - INVESTMENTS
MHRIL,HOTELS
MICROSEC,FINANCE - GENERAL
MINDACORP,AUTO ANCILLARIES
MINDAIND,AUTO ANCILLARIES
MINDTREE,COMPUTERS - SOFTWARE
MIRZAINT,LEATHER PRODUCTS
MMFL,CASTINGS & FORGINGS
MMTC,TRADING
MOHITIND,TEXTILES - PROCESSING
MOIL,MINING/MINERALS
MONNETISPA,STEEL - SPONGE IRON
MONSANTO,PESTICIDES/AGRO CHEMICALS
MORARJEE,TEXTILES - SPINNING - COTTON BLENDED
MOSERBAER,COMPUTERS - HARDWARE
MOTHERSUMI,AUTO ANCILLARIES
MOTILALOFS,FINANCE - GENERAL
MOTOGENFIN,FINANCE - LEASING & HIRE PURCHASE
MPHASIS,COMPUTERS - SOFTWARE
MPSLTD,PRINTING & STATIONERY
MRF,TYRES
MRO-TEK,COMPUTERS - HARDWARE
MRPL,REFINERIES
MSPL,STEEL - SPONGE IRON
MTEDUCARE,COMPUTERS - SOFTWARE - TRAINING
MTNL,TELECOMMUNICATIONS - SERVICE
MUKANDENGG,CONSTRUCTION & CONTRACTING - CIVIL
MUNJALAU,AUTO ANCILLARIES
MUNJALSHOW,AUTO ANCILLARIES
MURUDCERA,CERAMICS/GRANITE
MUTHOOTFIN,FINANCE - INVESTMENTS
MYSOREBANK,BANKS - PUBLIC SECTOR
N100,FINANCE - INVESTMENTS
NAGAROIL,REFINERIES
NAGREEKCAP,FINANCE - INVESTMENTS
NAGREEKEXP,TEXTILES - SPINNING - COTTON BLENDED
NAHARCAP,FINANCE - INVESTMENTS
NAHARINDUS,TEXTILES - COMPOSITE MILLS
NAHARSPING,TEXTILES - HOSIERY/KNITWEAR
NAKODA,TEXTILES - PROCESSING
NANDANEXIM,TEXTILES - DENIM
NATCOPHARM,PHARMACEUTICALS
NATHSEED,MISCELLANEOUS
NATIONALUM,ALUMINIUM
NATNLSTEEL,STEEL - GP/GC SHEETS
NAUKRI,MISCELLANEOUS
NAVINFLUOR,CHEMICALS
NAVNETEDUL,PRINTING & STATIONERY
NBCC,INFRASTRUCTURE - GENERAL
NBVENTURES,DIVERSIFIED
NCC,FINANCE - GENERAL
NCLIND,CEMENT - MINI
NCOPPER,METALS - NON FERROUS
NDTV,MEDIA & ENTERTAINMENT
NECLIFE,PHARMACEUTICALS
NELCAST,CASTINGS & FORGINGS
NELCO,TELECOMMUNICATIONS - EQUIPMENT
NEOCORP,PACKAGING
NEPCMICON,ENGINEERING
NESCO,DIVERSIFIED
NESTLEIND,FOOD PROCESSING
NET4,COMPUTERS - SOFTWARE MEDIUM/SMALL
NETWORK18,FINANCE - GENERAL
NEULANDLAB,PHARMACEUTICALS
NEXTMEDIA,MEDIA & ENTERTAINMENT
NEYVELILIG,POWER - GENERATION/DISTRIBUTION
NFL,FERTILISERS
NHPC,POWER - GENERATION/DISTRIBUTION
NIBL,BEARINGS
NICCO,CABLES - POWER/OTHERS
NIFETF,MISCELLANEOUS
NIFTYBEES,FINANCE - INVESTMENTS
NIITLTD,COMPUTERS - SOFTWARE - TRAINING
NIITTECH,COMPUTERS - SOFTWARE
NILKAMAL,PLASTICS
NIPPOBATRY,DRY CELLS
NITINFIRE,MISCELLANEOUS
NITINSPIN,TEXTILES - SPINNING - COTTON BLENDED
NMDC,MINING/MINERALS
NOCIL,PETROCHEMICALS
NOIDATOLL,CONSTRUCTION & CONTRACTING - CIVIL
NOL,CHEMICALS
NORBTEAEXP,PLANTATIONS - TEA & COFFEE
NOVOPANIND,MISCELLANEOUS
NRBBEARING,BEARINGS
NSIL,FINANCE - GENERAL
NTPC,POWER - GENERATION/DISTRIBUTION
NUCLEUS,COMPUTERS - SOFTWARE MEDIUM/SMALL
NUTEK,TELECOMMUNICATIONS - SERVICE
OBEROIRLTY,CONSTRUCTION & CONTRACTING - REAL ESTATE
OCL,CEMENT - MAJOR
OFSS,COMPUTERS - SOFTWARE
OIL,OIL DRILLING AND EXPLORATION
OILCOUNTUB,STEEL - TUBES/PIPES
OISL,STEEL - MEDIUM / SMALL
OMAXAUTO,AUTO ANCILLARIES
OMAXE,CONSTRUCTION & CONTRACTING - REAL ESTATE
OMKARCHEM,CHEMICALS
OMMETALS,ENGINEERING
OMNITECH,COMPUTERS - SOFTWARE MEDIUM/SMALL
ONELIFECAP,FINANCE - INVESTMENTS
ONGC,OIL DRILLING AND EXPLORATION
ONMOBILE,COMPUTERS - SOFTWARE MEDIUM/SMALL
ONWARDTEC,COMPUTERS - SOFTWARE MEDIUM/SMALL
OPTOCIRCUI,HOSPITALS & MEDICAL SERVICES
ORBITCORP,CONSTRUCTION & CONTRACTING - REAL ESTATE
ORBTEXP,some problem with symbol: ORBTEXP
ORCHIDCHEM,PHARMACEUTICALS
ORIENTABRA,ABRASIVES
ORIENTBANK,BANKS - PUBLIC SECTOR
ORIENTBELL,CERAMICS/GRANITE
ORIENTCEM,CEMENT - MAJOR
ORIENTHOT,HOTELS
ORIENTPPR,DIVERSIFIED
ORIENTREF,CEMENT - PRODUCTS/BUILDING MATERIALS
ORISSAMINE,MINING/MINERALS
OUDHSUG,SUGAR
PAGEIND,TEXTILES - READYMADE APPARELS
PANACEABIO,PHARMACEUTICALS
PANAMAPET,CHEMICALS
PANASONIC,DRY CELLS
PANCARBON,ELECTRODES/GRAPHITE
PANORAMUNI,COMPUTERS - SOFTWARE MEDIUM/SMALL
PAPERPROD,PACKAGING
PARACABLES,CABLES - TELEPHONE
PARAL,PACKAGING
PARRYSUGAR,MINING/MINERALS
PARSVNATH,CONSTRUCTION & CONTRACTING - REAL ESTATE
PATELENG,CONSTRUCTION & CONTRACTING - CIVIL
PATINTLOG,TRANSPORT & LOGISTICS
PATSPINLTD,TEXTILES - SPINNING - COTTON BLENDED
PCJEWELLER,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
PDPL,PHARMACEUTICALS
PDUMJEIND,PAPER
PDUMJEPULP,PAPER
PEL,PHARMACEUTICALS
PENIND,STEEL - CR/HR STRIPS
PENINLAND,CONSTRUCTION & CONTRACTING - HOUSING
PERIATEA,PLANTATIONS - TEA & COFFEE
PERSISTENT,COMPUTERS - SOFTWARE
PETRONET,OIL DRILLING AND EXPLORATION
PFC,FINANCE - TERM LENDING INSTITUTIONS
PFIZER,PHARMACEUTICALS
PFOCUS,MEDIA & ENTERTAINMENT
PFRL,RETAIL
PFS,FINANCE - TERM LENDING INSTITUTIONS
PGEL,CONSUMER GOODS - ELECTRONIC
PGHH,PERSONAL CARE
PGIL,TEXTILES - READYMADE APPARELS
PHILIPCARB,CHEMICALS
PHOENIXLL,AUTO ANCILLARIES
PHOENIXLTD,TEXTILES - SPINNING - COTTON BLENDED
PIDILITIND,CHEMICALS
PIIND,PESTICIDES/AGRO CHEMICALS
PILIND,some problem with symbol: PILIND
PIPAVAVDOC,SHIPPING
PIRGLASS,GLASS & GLASS PRODUCTS
PITTILAM,ENGINEERING
PLETHICO,PHARMACEUTICALS
PNB,FINANCE - INVESTMENTS
PNBGILTS,FINANCE - INVESTMENTS
POCHIRAJU,MISCELLANEOUS
POLARIS,COMPUTERS - SOFTWARE
POLYMED,HOSPITALS & MEDICAL SERVICES
POLYPLEX,PACKAGING
PONDYOXIDE,CHEMICALS
PONNIERODE,SUGAR
POWERGRID,POWER - GENERATION/DISTRIBUTION
PPAP,AUTO ANCILLARIES
PRAENG,CONSTRUCTION & CONTRACTING - HOUSING
PRAJIND,ENGINEERING - HEAVY
PRAKASH,DIVERSIFIED
PRAKASHCON,CONSTRUCTION & CONTRACTING - CIVIL
PRAKASHSTL,STEEL - TUBES/PIPES
PRATIBHA,CONSTRUCTION & CONTRACTING - CIVIL
PRECOT,TEXTILES - SPINNING - COTTON BLENDED
PRECWIRE,METALS - NON FERROUS
PREMIER,AQUACULTURE
PRESTIGE,CONSTRUCTION & CONTRACTING - REAL ESTATE
PRICOL,AUTO ANCILLARIES
PRISMCEM,CEMENT - MAJOR
PROVOGE,RETAIL
PSB,BANKS - PUBLIC SECTOR
PSL,STEEL - TUBES/PIPES
PSUBNKBEES,FINANCE - INVESTMENTS
PTC,TRADING
PTL,TYRES
PUNJLLOYD,INFRASTRUCTURE - GENERAL
PURVA,CONSTRUCTION & CONTRACTING - REAL ESTATE
PVP,CONSTRUCTION & CONTRACTING - REAL ESTATE
PVR,MEDIA & ENTERTAINMENT
QGOLDHALF,FINANCE - INVESTMENTS
QNIFTY,FINANCE - INVESTMENTS
RADICO,BREWERIES & DISTILLERIES
RAIN,MISCELLANEOUS
RAINBOWPAP,PAPER
RAJESHEXPO,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
RAJPALAYAM,TEXTILES - SPINNING - COTTON BLENDED
RAJRAYON,TEXTILES - PROCESSING
RAJSREESUG,SUGAR
RAJTV,MEDIA & ENTERTAINMENT
RALLIS,PESTICIDES/AGRO CHEMICALS
RAMANEWS,PAPER
RAMCOCEM,CEMENT - MAJOR
RAMCOIND,CEMENT - PRODUCTS/BUILDING MATERIALS
RAMCOSYS,COMPUTERS - SOFTWARE
RAMSARUP,STEEL - MEDIUM / SMALL
RANASUG,SUGAR
RANBAXY,PHARMACEUTICALS
RANEENGINE,AUTO ANCILLARIES
RANEHOLDIN,AUTO ANCILLARIES
RANKLIN,COMPUTERS - SOFTWARE MEDIUM/SMALL
RASOYPR,EDIBLE OILS & SOLVENT EXTRACTION
RATNAMANI,STEEL - MEDIUM / SMALL
RAYMOND,TEXTILES - WOOLLEN/WORSTED
RCF,FERTILISERS
RCOM,TELECOMMUNICATIONS - SERVICE
RECLTD,FINANCE - TERM LENDING INSTITUTIONS
REDINGTON,COMPUTERS - HARDWARE
REGENCERAM,CERAMICS/GRANITE
REIAGROLTD,FOOD PROCESSING
RELAXO,LEATHER PRODUCTS
RELBANK,FINANCE - INVESTMENTS
RELCAPITAL,FINANCE - INVESTMENTS
RELCNX100,FINANCE - INVESTMENTS
RELGOLD,FINANCE - INVESTMENTS
RELGRNIFTY,FINANCE - INVESTMENTS
RELIANCE,REFINERIES
RELIGARE,FINANCE - INVESTMENTS
RELIGAREGO,FINANCE - INVESTMENTS
RELINFRA,POWER - GENERATION/DISTRIBUTION
RELMEDIA,MEDIA & ENTERTAINMENT
RENUKA,SUGAR
REPCOHOME,FINANCE - HOUSING
REPRO,PRINTING & STATIONERY
RESPONIND,FINANCE - INVESTMENTS
REVATHI,COMPRESSORS
RICOAUTO,AUTO ANCILLARIES
RIIL,INFRASTRUCTURE - GENERAL
RJL,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
RKDL,BREWERIES & DISTILLERIES
RKFORGE,CASTINGS & FORGINGS
RML,AUTO ANCILLARIES
ROHITFERRO,MINING/MINERALS
ROHLTD,HOTELS
ROLTA,COMPUTERS - SOFTWARE
ROSSELLIND,PLANTATIONS - TEA & COFFEE
RPGLIFE,PHARMACEUTICALS
RPOWER,POWER - GENERATION/DISTRIBUTION
RPPINFRA,CONSTRUCTION & CONTRACTING - CIVIL
RSSOFTWARE,COMPUTERS - SOFTWARE MEDIUM/SMALL
RSWM,TEXTILES - SPINNING - SYNTHETIC BLENDED
RSYSTEMS,COMPUTERS - SOFTWARE MEDIUM/SMALL
RUBYMILLS,TEXTILES - COMPOSITE MILLS
RUCHINFRA,EDIBLE OILS & SOLVENT EXTRACTION
RUCHISOYA,EDIBLE OILS & SOLVENT EXTRACTION
RUPA,TEXTILES - HOSIERY/KNITWEAR
RUSHIL,MISCELLANEOUS
SABERORGAN,PESTICIDES/AGRO CHEMICALS
SABTN,MEDIA & ENTERTAINMENT
SADBHAV,INFRASTRUCTURE - GENERAL
SAHPETRO,OIL DRILLING AND EXPLORATION
SAIL,STEEL - LARGE
SAKHTISUG,SUGAR
SAKSOFT,COMPUTERS - SOFTWARE
SAKUMA,TRADING
SANDESH,PRINTING & STATIONERY
SANGAMIND,TEXTILES - SPINNING - SYNTHETIC BLENDED
SANGHIIND,CEMENT - PRODUCTS/BUILDING MATERIALS
SANGHVIMOV,ENGINEERING - HEAVY
SANOFI,PHARMACEUTICALS
SANWARIA,EDIBLE OILS & SOLVENT EXTRACTION
SARDAEN,STEEL - SPONGE IRON
SAREGAMA,MEDIA & ENTERTAINMENT
SASKEN,COMPUTERS - SOFTWARE
SATHAISPAT,STEEL - PIG IRON
SAVERA,HOTELS
SBBJ,BANKS - PUBLIC SECTOR
SBIGETS,FINANCE - INVESTMENTS
SBIN,BANKS - PUBLIC SECTOR
SBT,BANKS - PUBLIC SECTOR
SCHNEIDER,POWER - GENERATION/DISTRIBUTION
SCI,SHIPPING
SEAMECLTD,SHIPPING
SEINV,FINANCE - INVESTMENTS
SELAN,OIL DRILLING AND EXPLORATION
SELMCL,TEXTILES - GENERAL
SERVALL,PAPER
SESHAPAPER,PAPER
SEZAL,GLASS & GLASS PRODUCTS
SFCL,STEEL - MEDIUM / SMALL
SGJHL,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
SHAKTIPUMP,PUMPS
SHALPAINTS,PAINTS/VARNISHES
SHANTIGEAR,ENGINEERING
SHARIABEES,FINANCE - INVESTMENTS
SHARONBIO,PHARMACEUTICALS
SHARRESLTD,FINANCE - HOUSING
SHASUNPHAR,PHARMACEUTICALS
SHILPAMED,PHARMACEUTICALS
SHILPI,CABLES - TELEPHONE
SHIRPUR-G,MINING/MINERALS
SHIVAMAUTO,AUTO ANCILLARIES
SHOPERSTOP,RETAIL
SHREECEM,CEMENT - MAJOR
SHREERAMA,PACKAGING
SHRENUJ,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
SHREYAS,SHIPPING
SHRIRAMCIT,FINANCE - LEASING & HIRE PURCHASE
SHRIRAMEPC,ENGINEERING - HEAVY
SICAGEN,TRADING
SICAL,TRADING
SIEMENS,AUTO ANCILLARIES
SIGNETIND,FINANCE - INVESTMENTS
SIMBHSUGAR,SUGAR
SIMPLEX,CASTINGS & FORGINGS
SIMPLEXINF,CONSTRUCTION & CONTRACTING - CIVIL
SINTEX,DIVERSIFIED
SIRPAPER,PAPER
SITASHREE,FOOD PROCESSING
SITICABLE,MEDIA & ENTERTAINMENT
SIYSIL,TEXTILES - WEAVING
SJVN,POWER - GENERATION/DISTRIBUTION
SKFINDIA,BEARINGS
SKMEGGPROD,FOOD PROCESSING
SKSMICRO,FINANCE - GENERAL
SMARTLINK,COMPUTERS - HARDWARE
SMLISUZU,AUTO - LCVS/HCVS
SMOBILITY,COMPUTERS - HARDWARE
SMSPHARMA,PHARMACEUTICALS
SOBHA,CONSTRUCTION & CONTRACTING - REAL ESTATE
SOLARINDS,CHEMICALS
SOMANYCERA,CERAMICS/GRANITE
SONASTEER,AUTO ANCILLARIES
SONATSOFTW,COMPUTERS - SOFTWARE MEDIUM/SMALL
SOTL,PETROCHEMICALS
SOUTHBANK,BANKS - PRIVATE SECTOR
SPARC,COMPUTERS - HARDWARE
SPECIALITY,LUBRICANTS
SPENTEX,TEXTILES - SPINNING - COTTON BLENDED
SPIC,TEXTILES - READYMADE APPARELS
SPYL,TEXTILES - MANMADE
SREINFRA,FINANCE - LEASING & HIRE PURCHASE
SRF,PETROCHEMICALS
SRHHYPOLTD,CHEMICALS
SRSLTD,MEDIA & ENTERTAINMENT
SRTRANSFIN,FINANCE - LEASING & HIRE PURCHASE
SSLT,MINING/MINERALS
SSWL,AUTO ANCILLARIES
STAR,MEDIA & ENTERTAINMENT
STCINDIA,TRADING
STEL,PHARMACEUTICALS
STERLINBIO,PHARMACEUTICALS
STOREONE,TEXTILES - READYMADE APPARELS
STRTECH,CABLES - TELEPHONE
STYABS,PETROCHEMICALS
SUBROS,AUTO ANCILLARIES
SUDAR,CEMENT - MINI
SUDARSCHEM,DYES & PIGMENTS
SUJANATWR,some problem with symbol: SUJANATWR
SUJANAUNI,DOMESTIC APPLIANCES
SUMEETINDS,TEXTILES - MANMADE
SUMMITSEC,FINANCE - INVESTMENTS
SUNCLAYLTD,AUTO ANCILLARIES
SUNDARAM,PRINTING & STATIONERY
SUNDARMFIN,FINANCE - LEASING & HIRE PURCHASE
SUNDRMBRAK,AUTO ANCILLARIES
SUNDRMFAST,FASTENERS
SUNFLAG,STEEL - ROLLING
SUNILHITEC,POWER - TRANSMISSION/EQUIPMENT
SUNPHARMA,PHARMACEUTICALS
SUNTECK,CONSTRUCTION & CONTRACTING - REAL ESTATE
SUNTV,MEDIA & ENTERTAINMENT
SUPER,TEXTILES - HOSIERY/KNITWEAR
SUPERSPIN,TEXTILES - SPINNING - COTTON BLENDED
SUPPETRO,PETROCHEMICALS
SUPRAJIT,AUTO ANCILLARIES
SUPREMEIND,PLASTICS
SUPREMEINF,CONSTRUCTION & CONTRACTING - CIVIL
SURANAT&P,CABLES - TELEPHONE
SURYAJYOTI,TEXTILES - SPINNING - COTTON BLENDED
SURYALAXMI,TEXTILES - SPINNING - COTTON BLENDED
SURYAROSNI,STEEL - TUBES/PIPES
SUVEN,PHARMACEUTICALS
SUZLON,INFRASTRUCTURE - GENERAL
SWANENERGY,TRADING
SWARAJENG,ENGINES
SWELECTES,ELECTRIC EQUIPMENT
SYMPHONY,CONSUMER GOODS - WHITE GOODS
SYNCOM,PHARMACEUTICALS
SYNDIBANK,BANKS - PUBLIC SECTOR
TAJGVK,HOTELS
TAKE,COMPUTERS - SOFTWARE MEDIUM/SMALL
TALBROAUTO,AUTO ANCILLARIES
TALWALKARS,MISCELLANEOUS
TANFACIND,CHEMICALS
TANTIACONS,CONSTRUCTION & CONTRACTING - CIVIL
TARAJEWELS,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
TATACHEM,CHEMICALS
TATACOFFEE,PLANTATIONS - TEA & COFFEE
TATACOMM,TELECOMMUNICATIONS - SERVICE
TATAELXSI,COMPUTERS - SOFTWARE
TATAGLOBAL,PLANTATIONS - TEA & COFFEE
TATAINVEST,FINANCE - INVESTMENTS
TATAMOTORS,AUTO - LCVS/HCVS
TATAMTRDVR,AUTO - LCVS/HCVS
TATAPOWER,POWER - GENERATION/DISTRIBUTION
TATASPONGE,STEEL - SPONGE IRON
TATASTEEL,STEEL - LARGE
TBZ,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
TCI,FINANCE - INVESTMENTS
TCS,COMPUTERS - SOFTWARE
TDPOWERSYS,ENGINEERING - HEAVY
TECHM,COMPUTERS - SOFTWARE
TECHNO,CASTINGS & FORGINGS
TECHNOFAB,ENGINEERING
