SYMBOL,SECTOR
JAICORPLTD,STEEL - GP/GC SHEETS
STAN,ENGINEERING
20MICRONS,MINING/MINERALS
3MINDIA,DIVERSIFIED
A2ZMES,POWER - TRANSMISSION/EQUIPMENT
AARTIDRUGS,PHARMACEUTICALS
AARTIIND,CHEMICALS
AARVEEDEN,TEXTILES - DENIM
ABAN,OIL DRILLING AND EXPLORATION
ABB,PHARMACEUTICALS
ABBOTINDIA,PHARMACEUTICALS
ABGSHIP,SHIPPING
ABIRLANUVO,TEXTILES - MANMADE
ACC,TRADING
ACCELYA,COMPUTERS - SOFTWARE MEDIUM/SMALL
ACE,COMPUTERS - SOFTWARE MEDIUM/SMALL
ADANIENT,TRADING
ADANIPORTS,INFRASTRUCTURE - GENERAL
ADANIPOWER,POWER - GENERATION/DISTRIBUTION
ADFFOODS,FOOD PROCESSING
ADORWELD,ELECTRODES/GRAPHITE
ADVANIHOTR,HOTELS
ADVANTA,MISCELLANEOUS
AEGISCHEM,TRANSPORT & LOGISTICS
AFL,COMPUTERS - SOFTWARE MEDIUM/SMALL
AGCNET,COMPUTERS - SOFTWARE
AGRODUTCH,FOOD PROCESSING
AHLEAST,HOTELS
AHLWEST,HOTELS
AHMEDFORGE,CASTINGS & FORGINGS
AIAENG,ENGINEERING - HEAVY
AIL,POWER - TRANSMISSION/EQUIPMENT
AJANTPHARM,PHARMACEUTICALS
AJMERA,STEEL - GP/GC SHEETS
AKSHOPTFBR,CABLES - TELEPHONE
AKZOINDIA,PAINTS/VARNISHES
ALBK,BANKS - PUBLIC SECTOR
ALCHEM,PESTICIDES/AGRO CHEMICALS
ALEMBICLTD,PHARMACEUTICALS
ALKALI,CHEMICALS
ALKYLAMINE,CHEMICALS
ALLCARGO,TRANSPORT & LOGISTICS
ALOKTEXT,TEXTILES - WEAVING
ALPSINDUS,TEXTILES - GENERAL
ALSTOMT&D,POWER - TRANSMISSION/EQUIPMENT
AMARAJABAT,AUTO ANCILLARIES
AMARJOTHI,TEXTILES - SPINNING - COTTON BLENDED
AMBUJACEM,CEMENT - MAJOR
AMDIND,PACKAGING
AMRUTANJAN,PHARMACEUTICALS
AMTEKAUTO,AUTO ANCILLARIES
AMTEKINDIA,AUTO ANCILLARIES
